"","Year","Council","serv5g","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"380","2014","Inverclyde","Neither satisfied nor dissatisfied","-","6.3","*","-","*","-","7.9"
"381","2014","Midlothian","Neither satisfied nor dissatisfied","-","9.6","*","-","*","-","9.6"
"382","2014","Moray","Neither satisfied nor dissatisfied","-","28.4","*","*","18.4","*","17"
"383","2014","Na h-Eileanan Siar","Neither satisfied nor dissatisfied","-","-","-","19.5","-","14.8","16.2"
"384","2014","North Ayrshire","Neither satisfied nor dissatisfied","-","24.9","*","-","*","*","23.8"
"385","2014","North Lanarkshire","Neither satisfied nor dissatisfied","*","7.1","8.4","-","*","-","7.7"
"386","2014","Orkney Islands","Neither satisfied nor dissatisfied","-","-","-","11.9","-","24.1","20"
"387","2014","Perth and Kinross","Neither satisfied nor dissatisfied","*","6.7","*","*","14.8","*","12.2"
"388","2014","Renfrewshire","Neither satisfied nor dissatisfied","7.8","*","*","-","*","-","8.7"
"389","2014","Scotland","Neither satisfied nor dissatisfied","8.9","14.3","15.4","20.6","19.2","19","13.5"
"390","2014","Scottish Borders","Neither satisfied nor dissatisfied","-","21.4","*","*","24.6","*","27.2"
"391","2014","Shetland Islands","Neither satisfied nor dissatisfied","-","-","-","16.5","-","14.3","15"
